board_id,post_id,analysis_unit,title,published_at,source_url,selection_reason,views,recommendations,comment_count,analyzed_comment_count,comments_complete,body_sentiment,comment_reaction,intent,topic,confidence,evidence_terms,body_excerpt,model_version
2294,454525,adele,오랜만에 다시 하는데 많이 바꼈네요.. 이 방법맞나요?,2026-06-26 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/454525,comments,1791,0,16,16,True,neutral,positive,debate,밸런스·스킬,0.35,,1 ) 극딜 시퀀스 : 에픽 - 그여축 - 매직서킷 - 리스토어 - 인피 - 바오스 - 스톰 - 리레 - 엔버 준극 시퀀스 : 엔버 - 스톰 + @ 2 ) 오리진때 테리토리 깔고 시퀀스 쓴다음에 게블쓰고 루인 + 마커 쓰고 오리진 쓰고 평딜하다가 게블? 2분극딜때 테리토리 깔고 시퀀스 쓴다음에 게블쓰고 루인 + 마커 쓰고 반복 준극때 테리토리 깔고 시퀀스 쓴다음에 게블쓰고 루인 + 마커 쓰기 평딜땐 테리토리 깔면서 게블 쿨돌때마다 쓰기 뭔가 많이 바껴서 헷갈리네요... 제가 알던건 오더 죽거나 페이지 넘어가면 초기화되고 시퀀스에 원래 스톰이 들어갔었나..? 그리고 리스토어에서 이제 공짜로 2개도 주고 많이 바뀐거같네요..,domain-lexicon-v1.1
2294,455495,adele,익검 3페 67%영상,2026-07-06 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/455495,comments,1133,0,17,17,True,neutral,negative,information,밸런스·스킬,0.35,,https://youtu.be/tdhEOqXztuA?si=4cGooX-FPdSM7h6t 피드백할거있음 해주십셔 검마는 개초보일때 딜찍으로잡고 제대로빡세게연습한적이없기도한데 후딜이하도심해서 싸다구피하기힘드네요 파괴최대한먹여서 딜함,domain-lexicon-v1.1
2294,455560,adele,"아델 극딜,준극딜,평딜 정확히 이거 맞나여?",2026-07-06 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/455560,comments,1270,0,15,15,True,positive,positive,question,밸런스·스킬,0.6,감사,준극딜 시퀀스 : 스톰 / 엔버 / 부스터 헤카테 감응 : 스톰 극딜 : 시퀀스 - 강디바 - 루인 - 마커 - 게블 - 테리토리 - 오리진 - 강디바 - 게블 준극딜 : 시퀀스 - 루인 - 마커 - 게블 - 테리토리 평딜 : 그냥 디바이드 때리면서 쿨마다 게블 테리토리 이렇게만 하고 있는데 이게 맞죠? 그리고 궁금한 게 루시드 3페에서 그레이브 먹여야 하나요? 어차피 루시드 바로 앞에서 극딜하니까 게블 안 빗나가서 괜찮지 않나요 그레이브 스킬을 아직 잘 모르겠네요 ᅲᅲ 위 극딜 준극딜 평딜은 유튜브 보고 배워온 건데 혹시 제가 지금 뭘 잘못하고 있다면 알려주시면 감사하겠습니다 ᄒ ᄒ,domain-lexicon-v1.1
2294,456676,adele,키다운 받아들이고 지금은 키다운 시간 줄여달라 문의할 때,2026-07-09 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456676,comments,1362,1,17,17,True,neutral,neutral,request,밸런스·스킬,0.35,,지금은 몇 번을 해봐도 무조건 1리레 2게더블 안돼요. 2번째 게더링 후 블로섬 직전에 꺼집니다. 쿨뚝 높아서 게더블-오리진-게더블 가능해도 신스킬 막타에 리레가 안묻을 가능성이 있습니다. 다른 직업들도 보니까 극딜 스킬 받은 직업들 죄다 키다운이라서 키다운이 취소될 확률 없어요. 키다운 없애라 할 게 아니라 키다운 시간을 줄여달라고 문의해야 할 듯합니다. 현재: 290% ~ 500%(레벨당+7%p)로 10번 '35회'(최대 3.5초 키다운) 개선: 355% ~ 625%(레발당+9%p)로 10번 '28회'(최대 2.8초 키다운) 저는 이렇게 계속 문의 남기겠습니다.,domain-lexicon-v1.1
2294,456883,adele,무슨 생각으로 키다운을 준건지 이해가 안감,2026-07-11 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456883,comments,3264,0,86,92,True,neutral,negative,debate,보스·전투,0.35,,"선해방무적, 선바인드 강제되거나 후바인드 쓰면 다음 극딜에 바인드 저항 겹쳐있음 바인드 저항에 키다운 박고있어야 하는 아이러니한 구조 탄생 보스 텔타면 막타 그대로 날아감 감응박고 키다운해도 감응시간 안에 강디바 루인 마커 게블 키다운 다 안들어감 구조적인 하자를 포함한 키다운을 해야하는데 꼴랑 최종뎀 2.9% 주는게 맞나 키다운 빼고 그냥 단일 스킬로 2%정도 받는게 바인드도 안꼬이고 맵패턴, 보스패턴에 취약하지도 않고 더좋을듯 무슨 생각으로 키다운 넣어둔거지 아델이 극딜때 쓸 스킬이 적은것도 아닌데",domain-lexicon-v1.1
2294,456357,adele,그래도 키다운은 에바 같아요,2026-07-08 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456357,recommendations,2512,12,5,5,True,positive,neutral,request,밸런스·스킬,0.6,감사,배부른 투정일 수 있지만 그래도 정녕 키다운 포기하기 힘드시다면 제로 조택처럼 막타에 딜 몰아주세요 감사합니다 그리고 이펙트는 볼만해진거 같은데 막타 차징했다가 발사하는 시늉을 하거든요 그런데 뒤로 갔다가 앞으로 가는 모션에서 관성이 하나도 안느껴져서 무슨 싸구려게임 통나무 발사모션 같습니다 수정좀 부탁드릴게요,domain-lexicon-v1.1
2294,456674,adele,연말 데티2차 예정인데 키다운 패치 필요하다고 생각해요,2026-07-09 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456674,recommendations,883,6,10,10,True,negative,mixed,request,밸런스·스킬,0.75,문제 · 아쉽,"빌런 한분 때문에 아델 자체가 비호감 직업이 되어 정상적인 의견조차 묵살되는 분위기가 생긴것도, 3.5초 키다운에 최종뎀 2.97% 받은걸로 단두대 올라간것도 어이없네요 팡x님도 ""점유율 4% 나오니까 닥치고 있어라"" 하시는거 봤는데 개인적으로 발언이 참 아쉽다고 생각드네요 문제는 키다운이라는 구조적 리스크를 전혀 고려하지 않는다는 것 같고 그 발언 하나가 메벤 30추 올라가면서 아델 유저들이 의견 내는 것 자체를 묵살해버린 느낌입니다 신스킬이 추가타 형식이거나 버튼 한 번만 누르는 극딜 스킬이었다면 3% 정도 상승도 납득할 수 있겠는데, 아델은 극딜 중에도 눌러야 할 스킬이 많은 직업이고, 3.5초 동안 키다운을 하는 동안 디바이드 손실도 생깁니다. 강화 디바이드의 쿨타임을 조절할 수 없으니 그 3.5초 키다운에 강화 디바이드가 들어갈 수도 있는거구요. 헤카테 바인드 안에 시퀀스, 테리토리, 루인, 마커, 게블, 강디바, 키다운이 전부 들어가는 것도 아니고, 선오리진 후바인드로 바",domain-lexicon-v1.1
2294,456683,adele,체급은 돌고 돌지만 구조적 결함은 평생 갑니다,2026-07-09 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456683,recommendations,986,4,0,0,True,positive,neutral,praise,밸런스·스킬,0.6,좋다,키다운 3.5초지만 딜이 괜찮게 나왔으니 좋다 - 라는 얘기가 있던데 공감하기 어렵습니다 체급은 돌고 돌지만 구조적 결함은 평생 갑니다,domain-lexicon-v1.1
2294,456764,adele,"(장문) 아델 신스킬 이펙트, '이렇게' 바꾸면 어떨까요?",2026-07-10 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/456764,recommendations,2123,13,12,12,True,mixed,neutral,request,밸런스·스킬,0.95,기대 · 감사 · 문제 · 부족 · 아쉽,"인벤 눈팅만 하다가 이번 신스킬의 성능과 무관하게, 오로지 이펙트에 대한 의견이 있어 다른 분들의 생각은 어떤지 궁금해 가입하게 되었습니다. 먼저 저는 아델 출시부터 메이플을 시작해 지금까지 아델을 본캐로 키우고 있습니다. 다만, 복귀와 휴식을 반복해 스펙 자체는 높지 않은(1억따리) 라이트 유저입니다. 여러분보다 아는 것이 분명 적을 테니, 반박 시에는 의견을 겸허히 수용하겠습니다. 제가 처음 아델을 시작한 건 사기적인 성능도 좋았지만, 이펙트가 너무 마음에 들었던 이유가 가장 컸습니다. 신 5차 스톰 출시 때도 많은 분이 이펙트에 의문을 가졌지만, 저는 연출의 문제일 뿐 컨셉 자체는 나쁘지 않다고 생각하여 개인적으로는 수용하며 넘어갔습니다. 그러나 이번 신스킬은 연출과 컨셉 모두 과연 괜찮은 것인지 의문이 듭니다. 현 아델의 대부분 스킬은 고유의 컨셉을 충실히 표현했다고 생각합니다. 하늘에서 장검을 내려꽂는 컨셉: 루인, 어센트 수많은 검이 일제히 적에게 꽂히는 컨셉: 인피니트,",domain-lexicon-v1.1
2294,455767,adele,3.5초동안 꾹 누르는 건 아닌듯?,2026-07-08 15:00:00+00:00,https://www.inven.co.kr/board/maple/2294/455767,views,3670,0,7,7,True,neutral,positive,information,커뮤니티,0.35,,최대 3.5초누를수 있다지 실제론 1초만 누르면 될듯? 최대 공격 다하면 알아서 꺼진대,domain-lexicon-v1.1
